INSTNM,latitude,longitude,STABBR,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,PPTUG_EF
Arthur's Beauty College Inc-Fort Smith,35.38,-94.411,AR,0.7167,1048.0,50.0,8792.0,8717.0,0.46545000000000003,0.6056,0.7746,0.0
University of Arkansas,36.0615,-94.1782,AR,0.5858,1156.0,20776.0,11861.0,18259.0,0.601,0.4084,0.2427,0.1117
University of Arkansas at Pine Bluff,34.2422,-92.0213,AR,0.277,842.0,2503.0,7695.0,18259.0,0.2583,0.7276,0.6986,0.0811
Arkansas State University-Beebe,35.0745,-91.8962,AR,0.7167,1048.0,3217.0,5837.0,18259.0,0.46545000000000003,0.1337,0.3155,0.3196
Arkansas State University-Main Campus,35.8428,-90.6805,AR,0.7551,1088.0,9325.0,9475.0,18259.0,0.3698,0.5289,0.4618,0.1896
Arkansas Tech University,35.2952,-93.1323,AR,0.8503,1008.0,8734.0,9128.0,18259.0,0.4025,0.4734,0.4559,0.1922
University of Arkansas at Monticello,33.5898,-91.813,AR,0.7167,1048.0,3024.0,9828.0,18259.0,0.2804,0.5956,0.6473,0.1832
Arthur's Beauty College Inc-Jacksonville,34.8918,-92.1023,AR,0.7167,1048.0,64.0,8792.0,10946.0,0.46545000000000003,0.679,0.679,0.0
Baptist Health Schools-Little Rock,34.7131,-92.4069,AR,0.8615,970.0,918.0,8792.0,15238.0,0.46545000000000003,0.8846,0.5978,0.1264
Black River Technical College,36.2398,-90.951,AR,0.7167,1048.0,1894.0,5481.0,18259.0,0.46545000000000003,0.4177,0.6406,0.2603
University of Central Arkansas,35.0782,-92.4593,AR,0.8997,1070.0,9261.0,9693.0,18259.0,0.4203,0.492,0.3937,0.1106
Central Baptist College,35.0846,-92.4441,AR,0.5407,974.0,769.0,8792.0,11539.0,0.3874,0.5745,0.4531,0.1573
Cossatot Community College of the University of Arkansas,34.0434,-94.3673,AR,0.7167,1048.0,1129.0,5219.0,18259.0,0.46545000000000003,0.0,0.3819,0.4314
Crowley's Ridge College,36.0662,-90.5848,AR,0.7167,1048.0,153.0,8792.0,10192.0,0.2931,0.5524,0.4429,0.0654
Crowley's Ridge Technical Institute,35.0419,-90.7678,AR,0.7167,1048.0,286.0,3443.0,18259.0,0.46545000000000003,0.0,0.7814,0.0979
East Arkansas Community College,35.0397,-90.7674,AR,0.7167,1048.0,922.0,3051.0,18259.0,0.46545000000000003,0.0628,0.416,0.3482
Eastern College of Health Vocations-Little Rock,34.7511,-92.3412,AR,0.7167,1048.0,302.0,8792.0,12460.0,0.46545000000000003,0.9182,0.8886,0.0
Imagine-Paul Mitchell Partner School,34.7913,-92.2213,AR,0.7167,1048.0,482.0,8792.0,17127.0,0.46545000000000003,0.6721,0.5097,0.2012
National Park Community College,34.5127,-93.1171,AR,0.7167,1048.0,2445.0,8691.0,18259.0,0.46545000000000003,0.3935,0.6033,0.3967
University of Arkansas Community College-Batesville,35.7929,-91.6161,AR,0.7167,1048.0,1090.0,2702.0,18259.0,0.46545000000000003,0.49,0.6327,0.2853
Harding University,35.2496,-91.729,AR,0.7628,1139.0,4428.0,8792.0,23534.0,0.6219,0.5573,0.2631,0.0729
Henderson State University,34.1278,-93.0603,AR,0.6221,1011.0,3190.0,8049.0,18259.0,0.2854,0.5985,0.5296,0.0984
Hendrix College,35.0997,-92.442,AR,0.8039,1267.0,1428.0,8792.0,22231.0,0.6959,0.4487,0.1792,0.0042
Hot Springs Beauty College,34.4963,-93.0384,AR,0.7167,1048.0,43.0,8792.0,8739.0,0.46545000000000003,0.2877,0.5616,0.0
Jefferson Regional Medical Center School of Nursing,34.1878,-92.018,AR,0.7167,1048.0,76.0,8792.0,18259.0,0.46545000000000003,0.6134,0.6471,0.0
John Brown University,36.1911,-94.5591,AR,0.6982,1144.0,1770.0,8792.0,17550.0,0.6537,0.5333,0.3184,0.1124
Lees School of Cosmetology,34.782,-92.2967,AR,0.7167,1048.0,27.0,8792.0,12018.0,0.46545000000000003,0.4865,0.6486,0.0
Career Academy of Hair Design,36.1676,-94.1318,AR,0.7167,1048.0,364.0,8792.0,14889.0,0.46545000000000003,0.5332,0.4813,0.3736
Marsha Kay Beauty College,36.3447,-92.386,AR,0.7167,1048.0,15.0,8792.0,6284.0,0.46545000000000003,0.0,0.9583,0.0
Academy of Salon and Spa,35.3809,-94.4163,AR,0.7167,1048.0,75.0,8792.0,15696.0,0.46545000000000003,0.619,0.6746,0.0
Mid-South Community College,35.1457,-90.2229,AR,0.7167,1048.0,1263.0,10158.0,18259.0,0.46545000000000003,0.0,0.5818,0.4719
Arkansas Northeastern College,35.8974,-89.9225,AR,0.7167,1048.0,1141.0,6694.0,18259.0,0.46545000000000003,0.0,0.5018,0.4619
Margaret's Hair Academy Inc,33.6292,-91.7887,AR,0.7167,1048.0,65.0,8792.0,10884.0,0.46545000000000003,0.5854,0.9634,0.0
New Tyler Barber College Inc,34.7591,-92.2541,AR,0.7167,1048.0,79.0,8792.0,12681.0,0.46545000000000003,0.3978,0.6129,0.0
North Arkansas College,36.2205,-93.0873,AR,0.7167,1048.0,1885.0,4094.0,18259.0,0.46545000000000003,0.2661,0.6147,0.4297
